et,ret
2023-06-20 04:00:00,-0.019588931398888867
2023-06-26 07:00:00,-0.01758731226651667
2023-08-21 00:00:00,0.00048481633803268496
2023-09-04 00:00:00,-0.005006798885525998
2023-09-18 07:00:00,-0.01969892908310325
2023-09-25 07:00:00,0.06136527025262148
2023-10-11 22:00:00,0.11304208123222943
2023-10-19 05:00:00,0.03083982275988181
2023-10-27 23:00:00,0.002933990023689651
2023-12-07 12:00:00,0.002434572575985738
2024-01-17 01:00:00,0.020418035819502692
2024-03-11 07:00:00,-0.003550672026450111
2024-03-12 18:00:00,0.002419882836000467
2024-04-17 08:00:00,-0.0008968046426918415
2024-05-06 14:00:00,0.01361321088406663
2024-05-20 00:00:00,0.05427843090577787
2024-06-17 21:00:00,-0.006745719983596024
2024-07-19 02:00:00,0.035340452038640315
2024-08-29 19:00:00,-0.00012957912334092032
2024-09-12 05:00:00,-0.009226278358541624
2024-10-17 19:00:00,-0.00885795565831192
2024-11-24 03:00:00,-0.020291586109823873
2024-12-23 07:00:00,-0.01531531992232894
2025-01-12 17:00:00,0.03066789207229813
2025-01-20 07:00:00,-0.014846932441717016
2025-03-31 07:00:00,0.04302600356188514
2025-04-24 12:00:00,-0.004378244970422324
2025-09-24 22:00:00,-0.0012208945209863545
2025-10-28 11:00:00,-0.022488636280964338
2025-11-20 12:00:00,0.018290789170307978
2025-11-27 12:00:00,0.045647415533280354
2026-01-07 01:00:00,-0.022913312197011607
2026-01-23 23:00:00,0.013215303743449883
2026-03-22 03:00:00,0.011862026875344324
