LP임계,솎은거래,게이트,레버,증거금,복리,MDD,강제청산,진입수
OFF,0,M0_무제한,15,90,857740.6,-86.7,0,932
OFF,0,M30,4,70,3535.4,-29.7,0,932
OFF,0,M25,3,75,1851.6,-24.6,0,932
OFF,0,M20,2,80,789.1,-18.1,0,932
상위40%,373,M0_무제한,15,100,416674.1,-93.5,0,559
상위40%,373,M30,3,70,854.0,-28.8,0,559
상위40%,373,M25,2,80,480.4,-22.7,0,559
상위40%,373,M20,2,60,283.2,-17.5,0,559
상위25%,233,M0_무제한,15,100,2546709.9,-89.8,0,699
상위25%,233,M30,4,70,3201.0,-28.8,0,699
상위25%,233,M25,3,75,1682.1,-23.6,0,699
상위25%,233,M20,2,90,950.0,-19.2,0,699
상위10%,94,M0_무제한,12,100,189441.6,-82.1,0,838
상위10%,94,M30,3,100,2657.2,-28.8,0,838
상위10%,94,M25,5,50,1612.5,-24.3,0,838
상위10%,94,M20,2,100,932.9,-19.9,0,838
