feat,scope,ic_8h,p_8h,n_8h,ic_24h,p_24h,ic_24h_nonov,p_24h_nonov,n_24h_nonov
fund_level,full,-0.0009959134066408453,0.9544912839645172,3286.0,-0.012815031481071725,0.4628687439698418,0.0037434714070846424,0.9015712503201454,1094.0
fund_slope,full,0.01616939948523247,0.3541359191174098,3286.0,0.008649254940305705,0.6202638330094747,0.039597201657353955,0.19062920440626832,1094.0
oi_zscore_24h,full,-0.03683445770547111,0.034765705119664085,3285.0,-0.06234137423492259,0.0003514085618319786,-0.05656048999253814,0.06146511814501146,1094.0
oi_change_1h_pct,full,0.009600859042501141,0.5822099807627015,3286.0,0.0053671504593020706,0.7584962378806099,0.04593169786958442,0.12894224147760874,1094.0
cvd_z,full,-0.03332728950179115,0.0563267167878346,3280.0,-0.0163199983862925,0.3502584517849755,-0.04241404204925086,0.16132922355101878,1092.0
fund_level,y2023_8h,-0.03582351547319884,,,,,,,
fund_level,y2024_8h,-0.003490950747271224,,,,,,,
fund_level,y2025_8h,-0.008488613254981252,,,,,,,
fund_level,y2026_8h,-0.045842547075078316,,,,,,,
fund_slope,y2023_8h,0.09469535970986427,,,,,,,
fund_slope,y2024_8h,-0.019070056513915853,,,,,,,
fund_slope,y2025_8h,-0.013533617426702185,,,,,,,
fund_slope,y2026_8h,0.08283510475508733,,,,,,,
oi_zscore_24h,y2023_8h,-0.017336423137307263,,,,,,,
oi_zscore_24h,y2024_8h,-0.05644104386209945,,,,,,,
oi_zscore_24h,y2025_8h,-0.012208312989541996,,,,,,,
oi_zscore_24h,y2026_8h,-0.10455123117702288,,,,,,,
oi_change_1h_pct,y2023_8h,0.03551125555217794,,,,,,,
oi_change_1h_pct,y2024_8h,0.03774343726419088,,,,,,,
oi_change_1h_pct,y2025_8h,-0.029802540769689027,,,,,,,
oi_change_1h_pct,y2026_8h,-0.053118272876757806,,,,,,,
cvd_z,y2023_8h,-0.03714953287015032,,,,,,,
cvd_z,y2024_8h,-0.03927249991568286,,,,,,,
cvd_z,y2025_8h,-0.027001202987562305,,,,,,,
cvd_z,y2026_8h,-0.049662055264208985,,,,,,,
